ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              087                     110                     111        
Frame 0716    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0717    0001 000000003bf3e698  00000 0000000000000000  00000 0000000000000000
Frame 0718    0000 000000003bf3e698  01101 0000000000000000  01101 0000000000000000
Frame 0719    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0720    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0721    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0722    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0723    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0724    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0725    0001 000000003181a01c  00000 0000000000000000  00000 0000000000000000
Frame 0726    0000 000000003181a01c  01101 0000000000000000  01101 0000000000000000
Frame 0727    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0728    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0729    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0730    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0731    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0732    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0733    0001 0000000021fe211c  00000 0000000000000000  00000 0000000000000000
Frame 0734    0000 0000000021fe211c  01101 0000000000000000  01101 0000000000000000
Frame 0735    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0736    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0737    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0738    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0739    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0740    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0741    0001 00000000018a45de  00000 0000000000000000  00000 0000000000000000
Frame 0742    0000 00000000018a45de  01101 0000000000000000  01101 0000000000000000
Frame 0743    0101 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0744    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0745    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0746    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0747    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0748    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0749    0001 000000002fff25fc  00000 0000000000000000  00000 0000000000000000
Frame 0750    0000 000000002fff25fc  01101 0000000000000000  01101 0000000000000000
Frame 0751    0101 00000000a2278b70  00001 0000000000000000  00001 0000000000000000
Frame 0752    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0753    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0754    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0755    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0756    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0757    0001 000000001ffce7fe  00000 0000000000000000  00000 0000000000000000
Frame 0758    0000 000000001ffce7fe  01101 0000000000000000  01101 0000000000000000
Frame 0759    0101 00000000e027083f  00001 0000000000000000  00001 0000000000000000
Frame 0760    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0761    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0762    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0763    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0764    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0765    0001 000000006ffbe7bc  00000 0000000000000000  00000 0000000000000000
Frame 0766    0000 000000006ffbe7bc  01101 0000000000000000  01101 0000000000000000
Frame 0767    0101 00000000ffffffff  00001 0000000000000000  00001 0000000000000000
Frame 0768    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0769    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0770    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0771    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0772    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0773    0001 000000007ffb81fc  00000 0000000000000000  00000 0000000000000000
Frame 0774    0000 000000007ffb81fc  01101 0000000000000000  01101 0000000000000000
Frame 0775    0101 0000000002f0d000  00001 0000000000000000  00001 0000000000000000
Frame 0776    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0777    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0778    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0779    0001 0000000000000010  00001 0000000000000000  00001 0000000000000000
Frame 0780    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0781    0001 0000000003fbc07e  00000 0000000000000000  00000 0000000000000000
Frame 0782    0000 0000000003fbc07e  01101 0000000000000000  01101 0000000000000000
Frame 0783    0101 0000000005115400  00001 0000000000000000  00001 0000000000000000
Frame 0784    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0785    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0786    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0787    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0788    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0789    0001 000000000fffa77e  00000 0000000000000000  00000 0000000000000000
Frame 0790    0000 000000000fffa77e  01101 0000000000000000  01101 0000000000000000
Frame 0791    0101 0000000005213000  00001 0000000000000000  00001 0000000000000000
Frame 0792    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0793    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0794    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0795    0001 0000000000000410  00001 0000000000000000  00001 0000000000000000
Frame 0796    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0797    0001 000000007ff767fe  00000 0000000000000000  00000 0000000000000000
Frame 0798    0000 000000007ff767fe  01101 0000000000000000  01101 0000000000000000
Frame 0799    0101 0000000003f11c00  00001 0000000000000000  00001 0000000000000000
Frame 0800    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0801    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0802    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0803    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0804    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0805    0001 0000000007ffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0806    0000 0000000007ffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0807    0101 0000000005414400  00001 0000000000000000  00001 0000000000000000
Frame 0808    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0809    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0810    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0811    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0812    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0813    0001 000000007ffb64fc  00000 0000000000000000  00000 0000000000000000
Frame 0814    0000 000000007ffb64fc  01101 0000000000000000  01101 0000000000000000
Frame 0815    0101 000000000370fc00  00001 0000000000000000  00001 0000000000000000
Frame 0816    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0817    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0818    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0819    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0820    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0821    0001 000000007dffc7fe  00000 0000000000000000  00000 0000000000000000
Frame 0822    0000 000000007dffc7fe  01101 0000000000000000  01101 0000000000000000
Frame 0823    0101 0000000008e23000  00001 0000000000000000  00001 0000000000000000
Frame 0824    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0825    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0826    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0827    0001 0000000000000018  00001 0000000000000000  00001 0000000000000000
Frame 0828    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0829    0001 000000006fffa7be  00000 0000000000000000  00000 0000000000000000
Frame 0830    0000 000000006fffa7be  01101 0000000000000000  01101 0000000000000000
Frame 0831    0101 0000000002b0a400  00001 0000000000000000  00001 0000000000000000
Frame 0832    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0833    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0834    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0835    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0836    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0837    0001 000000007fffa0fe  00000 0000000000000000  00000 0000000000000000
Frame 0838    0000 000000007fffa0fe  01101 0000000000000000  01101 0000000000000000
Frame 0839    0101 0000000005e18c00  00001 0000000000000000  00001 0000000000000000
Frame 0840    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0841    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0842    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0843    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0844    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0845    0001 000000003f9fa39e  00000 0000000000000000  00000 0000000000000000
Frame 0846    0000 000000003f9fa39e  01101 0000000000000000  01101 0000000000000000
Frame 0847    0101 000000000631b800  00001 0000000000000000  00001 0000000000000000
Frame 0848    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0849    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0850    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0851    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0852    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0853    0001 000000001fffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0854    0000 000000001fffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0855    0101 0000000004f11000  00001 0000000000000000  00001 0000000000000000
Frame 0856    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0857    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0858    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0859    0001 0000000001000440  00001 0000000000000000  00001 0000000000000000
Frame 0860    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0861    0001 000000003bffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0862    0000 000000003bffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0863    0101 0000000005f17c00  00001 0000000000000000  00001 0000000000000000
Frame 0864    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0865    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0866    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0867    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0868    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0869    0001 00000000ffffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0870    0000 00000000ffffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0871    0101 0000000005b15800  00001 0000000000000000  00001 0000000000000000
Frame 0872    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0873    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0874    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0875    0001 0000000000000400  00001 0000000000000000  00001 0000000000000000
Frame 0876    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0877    0001 000000005fff67fe  00000 0000000000000000  00000 0000000000000000
Frame 0878    0000 000000005fff67fe  01101 0000000000000000  01101 0000000000000000
Frame 0879    0101 0000000003f11000  00001 0000000000000000  00001 0000000000000000
Frame 0880    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0881    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0882    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0883    0001 0000000001800010  00001 0000000000000000  00001 0000000000000000
Frame 0884    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0885    0001 000000001fffe2fe  00000 0000000000000000  00000 0000000000000000
Frame 0886    0000 000000001fffe2fe  01101 0000000000000000  01101 0000000000000000
Frame 0887    0101 000000000450fc00  00001 0000000000000000  00001 0000000000000000
Frame 0888    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0889    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0890    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0891    0001 0000000001220010  00001 0000000000000000  00001 0000000000000000
Frame 0892    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0893    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0894    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0895    0101 0000000006d1bc00  00001 0000000000000000  00001 0000000000000000
Frame 0896    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0897    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0898    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0899    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0900    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0901    0001 000000001febe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0902    0000 000000001febe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0903    0101 0000000003b0f000  00001 0000000000000000  00001 0000000000000000
Frame 0904    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0905    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0906    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0907    0001 0000000001000400  00001 0000000000000000  00001 0000000000000000
Frame 0908    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0909    0001 000000001fffe0be  00000 0000000000000000  00000 0000000000000000
Frame 0910    0000 000000001fffe0be  01101 0000000000000000  01101 0000000000000000
Frame 0911    0101 0000000004f13000  00001 0000000000000000  00001 0000000000000000
Frame 0912    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0913    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0914    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0915    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0916    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0917    0001 000000003fdfe1de  00000 0000000000000000  00000 0000000000000000
Frame 0918    0000 000000003fdfe1de  01101 0000000000000000  01101 0000000000000000
Frame 0919    0101 0000000005215400  00001 0000000000000000  00001 0000000000000000
Frame 0920    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0921    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0922    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0923    0001 0000000000000010  00001 0000000000000000  00001 0000000000000000
Frame 0924    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0925    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0926    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0927    0101 0000000006719c00  00001 0000000000000000  00001 0000000000000000
Frame 0928    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0929    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0930    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0931    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0932    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0933    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0934    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0935    0101 0000000003f0e400  00001 0000000000000000  00001 0000000000000000
Frame 0936    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0937    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0938    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0939    0001 0000000000000400  00001 0000000000000000  00001 0000000000000000
Frame 0940    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0941    0001 000000003fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0942    0000 000000003fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0943    0101 0000000006315800  00001 0000000000000000  00001 0000000000000000
Frame 0944    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0945    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0946    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0947    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0948    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0949    0001 000000007fff67fe  00000 0000000000000000  00000 0000000000000000
Frame 0950    0000 000000007fff67fe  01101 0000000000000000  01101 0000000000000000
Frame 0951    0101 0000000006a1b400  00001 0000000000000000  00001 0000000000000000
Frame 0952    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0953    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0954    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0955    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0956    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0957    0001 000000001fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0958    0000 000000001fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0959    0101 0000000007c23400  00001 0000000000000000  00001 0000000000000000
Frame 0960    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0961    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0962    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0963    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0964    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0965    0001 0000000037ffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0966    0000 0000000037ffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0967    0101 000000000ac2bc00  00001 0000000000000000  00001 0000000000000000
Frame 0968    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0969    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0970    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0971    0001 0000000000000010  00001 0000000000000000  00001 0000000000000000
Frame 0972    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0973    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0974    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0975    0101 0000000005b17400  00001 0000000000000000  00001 0000000000000000
Frame 0976    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0977    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0978    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0979    0001 0000000001000000  00001 0000000000000000  00001 0000000000000000
Frame 0980    0001 0000000001c0001c  00001 0000000000000000  00001 0000000000000000
Frame 0981    0001 000000007fffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0982    0000 000000007fffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0983    0101 000000000410fc00  00001 0000000000000000  00001 0000000000000000
Frame 0984    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0985    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0986    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0987    0001 0000000000000010  00001 0000000000000000  00001 0000000000000000
Frame 0988    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0989    0001 000000003fefe7be  00000 0000000000000000  00000 0000000000000000
Frame 0990    0000 000000003fefe7be  01101 0000000000000000  01101 0000000000000000
Frame 0991    0101 000000000721b800  00001 0000000000000000  00001 0000000000000000
Frame 0992    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0993    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0994    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0995    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0996    0001 0000000001c0001c  00001 0000000000000000  00001 0000000000000000
Frame 0997    0001 000000003ffee7fe  00000 0000000000000000  00000 0000000000000000
Frame 0998    0000 000000003ffee7fe  01101 0000000000000000  01101 0000000000000000
Frame 0999    0101 0000000003f11c00  00001 0000000000000000  00001 0000000000000000
Frame 1000    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 1001    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 1002    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 1003    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 1004    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 1005    0001 000000003fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 1006    0000 000000003fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 1007    0101 0000000008a22c00  00001 0000000000000000  00001 0000000000000000
Frame 1008    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 1009    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 1010    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 1011    0001 0000000000000018  00001 0000000000000000  00001 0000000000000000
Frame 1012    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 1013    0001 000000001fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 1014    0000 000000001fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 1015    0101 0000000004411800  00001 0000000000000000  00001 0000000000000000
Frame 1016    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 1017    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 1018    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 1019    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 1020    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 1021    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 1022    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 1023    0101 0000000004311800  00001 0000000000000000  00001 0000000000000000
